Unnamed: 0,trial_type_id,full_phrase,full_phrase_language,target_side,dataset_id,distractor_id,target_id,trial_type_aux_data,vanilla_trial,dataset_name,text1,image1,text2,image2,unique_pair,image_similarity,text_similarity
59,4053,"ila wil, moch, .. .",zxx,left,28,905,911,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,basket,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/moch.png,fire,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/k'ajk'.png,905_911,0.6395056,0.80304956
60,4054,"ila wil, machit, ya xba jletik!",zxx,right,28,906,908,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,machete,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/machit.png,car,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/karo.png,906_908,0.5711058,0.76193184
61,4055,"ila wil, tomut, ya xba jletik!",zxx,left,28,907,920,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,egg,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/tomut.png,banana,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/lo'bal.png,907_920,0.71150917,0.8134926
62,4056,"ila wil, mexa, .. .",zxx,right,28,908,910,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,table,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/mexa.png,machete,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/machit.png,908_910,0.68534994,0.7463358
63,4057,"ila wil, pelota, a!",zxx,left,28,909,916,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,ball,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/pelota.png,broom,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/mes.png,909_916,0.6383378,0.77084184
64,4058,"ila wil, waybal, ya xba jletik!",zxx,right,28,910,924,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,bed,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/waybal.png,table,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/mexa.png,910_924,0.80300194,0.84713024
65,4059,"ila wil, lo'bal, a!",zxx,left,28,911,907,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,banana,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/lo'bal.png,basket,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/moch.png,907_911,0.6811321,0.7493509
66,4060,"ila wil, tz'i, ya xba jletik!",zxx,left,28,912,921,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,dog,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/tz'i.png,chicken,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/mut.png,912_921,0.65592545,0.8919932
67,4061,"ila wil, xila, .. .",zxx,right,28,913,926,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,chair,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/xila.png,house,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/na.png,913_926,0.55352235,0.82084775
68,4062,"ila wil, te, .. .",zxx,left,28,914,919,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,tree,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/te.png,flower,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/nichim.png,914_919,0.6846062,0.80716944
69,4063,"ila wil, na, ya xba jletik!",zxx,right,28,915,913,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,house,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/na.png,pot,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/p'in.png,913_915,0.58289045,0.8382539
70,4064,"ila wil, balti, .. .",zxx,left,28,916,897,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,bucket,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/balti.png,ball,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/pelota.png,897_916,0.665479,0.8047918
71,4065,"ila wil, p'in, a!",zxx,right,28,917,915,"{""full_phrase_language_non_iso"": ""Tseltal""}",1,casillas_tseltal_2015,pot,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/p'in.png,firewood,/Users/visuallearninglab/Documents/peekbank_sims/data/stimulus_data/casillas_tseltal_2015/raw_data/split_images/si'.png,915_917,0.57313174,0.79363924
